X,Y,group
0.68 ,71.51 ,bin 3
0.67 ,61.97 ,bin 3
0.65 ,60.89 ,bin 3
0.65 ,55.60 ,bin 3
0.66 ,51.37 ,bin 3
0.71 ,56.01 ,bin 3
0.69 ,50.34 ,bin 3
0.69 ,47.87 ,bin 3
0.71 ,43.65 ,bin 3
0.73 ,45.09 ,bin 3
0.74 ,37.32 ,bin 3
0.75 ,27.45 ,bin 3
0.73 ,32.73 ,bin 3
0.73 ,22.49 ,bin 3
0.76 ,13.35 ,bin 3
0.62 ,27.69 ,bin 3
0.64 ,46.06 ,bin 3
0.65 ,48.19 ,bin 3
0.64 ,39.71 ,bin 3
0.64 ,36.18 ,bin 3
0.64 ,30.18 ,bin 3
0.65 ,25.95 ,bin 3
0.64 ,21.36 ,bin 3
0.65 ,-14.28 ,bin 3
0.66 ,-16.75 ,bin 3
0.67 ,43.61 ,bin 3
0.67 ,49.26 ,bin 3
0.66 ,46.43 ,bin 3
0.66 ,44.66 ,bin 3
0.65 ,40.07 ,bin 3
0.65 ,43.25 ,bin 3
0.65 ,36.90 ,bin 3
0.65 ,33.72 ,bin 3
0.65 ,31.95 ,bin 3
0.65 ,30.19 ,bin 3
0.66 ,28.08 ,bin 3
0.66 ,24.91 ,bin 3
0.67 ,23.85 ,bin 3
0.67 ,23.15 ,bin 3
0.69 ,20.70 ,bin 3
0.70 ,19.29 ,bin 3
0.70 ,18.94 ,bin 3
0.69 ,17.87 ,bin 3
0.68 ,18.92 ,bin 3
0.68 ,19.98 ,bin 3
0.67 ,17.85 ,bin 3
0.67 ,15.38 ,bin 3
0.65 ,16.78 ,bin 3
0.64 ,28.77 ,bin 3
0.64 ,24.54 ,bin 3
0.64 ,38.65 ,bin 3
0.64 ,35.47 ,bin 3
0.72 ,41.90 ,bin 3
0.68 ,44.68 ,bin 3
0.68 ,47.15 ,bin 3
0.69 ,47.16 ,bin 3
0.68 ,48.57 ,bin 3
0.69 ,44.70 ,bin 3
0.69 ,43.63 ,bin 3
0.67 ,40.79 ,bin 3
0.66 ,40.44 ,bin 3
0.66 ,37.96 ,bin 3
0.66 ,41.84 ,bin 3
0.66 ,40.08 ,bin 3
0.66 ,37.97 ,bin 3
0.67 ,36.55 ,bin 3
0.67 ,34.79 ,bin 3
0.67 ,33.38 ,bin 3
0.67 ,31.62 ,bin 3
0.67 ,29.85 ,bin 3
0.67 ,28.80 ,bin 3
0.68 ,26.33 ,bin 3
0.68 ,25.63 ,bin 3
0.68 ,24.22 ,bin 3
0.69 ,23.16 ,bin 3
0.70 ,21.76 ,bin 3
0.73 ,20.02 ,bin 3
0.72 ,20.01 ,bin 3
0.72 ,22.48 ,bin 3
0.72 ,26.37 ,bin 3
0.73 ,28.49 ,bin 3
0.73 ,26.38 ,bin 3
0.72 ,32.02 ,bin 3
0.72 ,35.19 ,bin 3
0.72 ,39.07 ,bin 3
0.73 ,37.67 ,bin 3
0.71 ,39.06 ,bin 3
0.71 ,42.24 ,bin 3
0.70 ,41.88 ,bin 3
0.69 ,41.17 ,bin 3
0.67 ,42.91 ,bin 3
0.67 ,41.86 ,bin 3
0.68 ,40.80 ,bin 3
0.68 ,39.74 ,bin 3
0.68 ,38.68 ,bin 3
0.68 ,35.51 ,bin 3
0.68 ,33.39 ,bin 3
0.69 ,30.93 ,bin 3
0.69 ,29.52 ,bin 3
0.70 ,26.35 ,bin 3
0.70 ,26.00 ,bin 3
0.71 ,32.71 ,bin 3
0.69 ,38.70 ,bin 3
0.69 ,36.93 ,bin 3
0.69 ,35.52 ,bin 3
0.70 ,29.88 ,bin 3
0.70 ,28.12 ,bin 3
0.70 ,26.35 ,bin 3
0.71 ,26.71 ,bin 3
0.71 ,21.42 ,bin 3
0.71 ,21.42 ,bin 3
0.70 ,24.94 ,bin 3
0.68 ,27.39 ,bin 3
0.68 ,32.33 ,bin 3
0.68 ,34.09 ,bin 3
0.68 ,34.10 ,bin 3
0.69 ,34.81 ,bin 3
0.70 ,35.88 ,bin 3
0.71 ,37.30 ,bin 3
0.71 ,36.95 ,bin 3
0.69 ,33.40 ,bin 3
0.71 ,33.41 ,bin 3
0.71 ,30.24 ,bin 3
0.71 ,29.19 ,bin 3
0.71 ,24.24 ,bin 3
0.70 ,23.17 ,bin 3
0.65 ,21.01 ,bin 5
0.65 ,14.66 ,bin 5
0.67 ,16.79 ,bin 5
0.67 ,13.97 ,bin 5
0.69 ,16.46 ,bin 5
0.71 ,14.36 ,bin 5
0.70 ,14.35 ,bin 5
0.72 ,14.02 ,bin 5
0.74 ,7.68 ,bin 5
0.73 ,8.73 ,bin 5
0.76 ,4.17 ,bin 5
0.76 ,-0.07 ,bin 5
0.76 ,-4.66 ,bin 5
0.75 ,-8.90 ,bin 5
0.75 ,-14.19 ,bin 5
0.74 ,-13.50 ,bin 5
0.72 ,-14.57 ,bin 5
0.70 ,-16.35 ,bin 5
0.68 ,-16.02 ,bin 5
0.67 ,-12.50 ,bin 5
0.66 ,-11.45 ,bin 5
0.66 ,-8.28 ,bin 5
0.64 ,-8.29 ,bin 5
0.64 ,-7.94 ,bin 5
0.63 ,-5.12 ,bin 5
0.63 ,-1.95 ,bin 5
0.64 ,-0.52 ,bin 5
0.65 ,4.42 ,bin 5
0.66 ,8.66 ,bin 5
0.66 ,10.08 ,bin 5
0.67 ,10.79 ,bin 5
0.69 ,13.28 ,bin 5
0.68 ,15.04 ,bin 5
0.68 ,12.56 ,bin 5
