SVM分类器分类结果如下：
   样本   原类  分类
     1     1     1
     2     1     1
     3     1     1
     4     1     1
     5     1     1
     6     1     1
     7     1     1
     8     1     1
     9     1     1
    10     1     1
    11     1     1
    12     1     1
    13     1     1
    14     1     1
    15     1     1
    16     1     1
    17     1     1
    18     1     1
    19     1     1
    20     1     1
    21     1     1
    22     1     1
    23     1     1
    24     1     1
    25     1     1
    26     1     1
    27     1     1
    28     1     1
    29     1     1
    30     1     1
    31     1     1
    32     1     1
    33     1     1
    34     1     1
    35     1     1
    36     1     1
    37     1     1
    38     1     1
    39     1     1
    40     1     1
    41     1     1
    42     1     1
    43     1     1
    44     1     1
    45     1     1
    46     1     1
    47     1     1
    48     1     1
    49     1     1
    50     1     1
    51     2     2
    52     2     2
    53     2     2
    54     2     2
    55     2     2
    56     2     2
    57     2     2
    58     2     2
    59     2     2
    60     2     2
    61     2     2
    62     2     2
    63     2     2
    64     2     2
    65     2     2
    66     2     2
    67     2     2
    68     2     2
    69     2     2
    70     2     2
    71     2     2
    72     2     2
    73     2     2
    74     2     2
    75     2     2
    76     2     2
    77     2     2
    78     2     2
    79     2     2
    80     2     2
    81     2     2
    82     2     2
    83     2     2
    84     2     2
    85     2     2
    86     2     2
    87     2     2
    88     2     2
    89     2     2
    90     2     2
    91     2     2
    92     2     2
    93     2     2
    94     2     2
    95     2     2
    96     2     2
    97     2     2
    98     2     2
    99     2     2
   100     2     2
   101     3     3
   102     3     3
   103     3     3
   104     3     3
   105     3     3
   106     3     3
   107     3     3
   108     3     3
   109     3     3
   110     3     3
   111     3     3
   112     3     3
   113     3     3
   114     3     3
   115     3     3
   116     3     3
   117     3     3
   118     3     3
   119     3     3
   120     3     2
   121     3     3
   122     3     3
   123     3     3
   124     3     2
   125     3     3
   126     3     3
   127     3     2
   128     3     2
   129     3     3
   130     3     2
   131     3     3
   132     3     3
   133     3     3
   134     3     2
   135     3     3
   136     3     3
   137     3     3
   138     3     3
   139     3     2
   140     3     3
   141     3     3
   142     3     3
   143     3     3
   144     3     3
   145     3     3
   146     3     3
   147     3     3
   148     3     3
   149     3     3
   150     3     3

SVM分类器第一类样本分类正确率是：
     1

SVM分类器第二类样本分类正确率是：
     1

SVM分类器第三类样本分类正确率是：
    0.8600

SVM分类器总正确率是：
    0.9533
